    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
      74   0.144000   0.853300  -0.110621   0.202430     3.087652     0.011194   1.757171   0.105804
      75   0.144000   0.853300  -0.083802   0.204792     3.099000     0.011452   1.760398   0.107016
      76   0.148800   0.848500  -0.102351   0.202752     3.083689     0.011610   1.756044   0.107748
      77   0.153600   0.843700  -0.079768   0.200818     3.081895     0.011740   1.755533   0.108349
      78   0.153600   0.843700  -0.067179   0.202579     3.054431     0.011825   1.747693   0.108742
      79   0.153600   0.843700  -0.045017   0.202458     3.053592     0.011676   1.747453   0.108056
      80   0.153600   0.843700  -0.022850   0.201276     3.053757     0.011639   1.747500   0.107885
      81   0.158400   0.838900  -0.026877   0.199981     3.017338     0.011628   1.737049   0.107833
      82   0.163200   0.834100  -0.029703   0.198092     2.981180     0.011772   1.726610   0.108498
      83   0.168000   0.829300  -0.016763   0.196300     2.958829     0.011890   1.720125   0.109042
      84   0.172800   0.824500   0.014593   0.194017     3.004238     0.012176   1.733274   0.110346
      85   0.172800   0.824500   0.034677   0.193361     3.002378     0.012069   1.732737   0.109858
      86   0.177600   0.819700   0.022662   0.193195     2.979594     0.011931   1.726150   0.109227
      87   0.182400   0.814900   0.020552   0.195495     2.945724     0.012243   1.716311   0.110648
      88   0.182400   0.814900  -0.000028   0.196593     2.948681     0.012208   1.717172   0.110489
      89   0.187200   0.810100   0.004143   0.195790     2.917063     0.012127   1.707941   0.110122
      90   0.192000   0.805300   0.002855   0.195546     2.884798     0.011997   1.698469   0.109532
      91   0.192000   0.805300  -0.027916   0.195132     2.937378     0.011881   1.713878   0.108999
      92   0.192000   0.805300  -0.000622   0.194367     2.972509     0.011804   1.724097   0.108647
      93   0.196800   0.800500  -0.000609   0.193599     2.940546     0.011731   1.714802   0.108310
      94   0.196800   0.800500   0.018916   0.195644     2.944341     0.011991   1.715908   0.109504
      95   0.196800   0.800500  -0.002363   0.194944     2.955461     0.011910   1.719145   0.109135
      96   0.196800   0.800500  -0.028748   0.196678     2.990123     0.012069   1.729197   0.109859
