    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
      73   0.187200   0.810100  -0.035994   0.179932     2.595343     0.011963   1.611007   0.109377
      74   0.192000   0.805300  -0.030980   0.179035     2.562082     0.011860   1.600650   0.108902
      75   0.196800   0.800500  -0.043226   0.176692     2.538870     0.012103   1.593383   0.110011
      76   0.196800   0.800500  -0.014992   0.178800     2.564462     0.012272   1.601394   0.110780
      77   0.201600   0.795700  -0.011263   0.177783     2.532200     0.012190   1.591289   0.110410
      78   0.201600   0.795700  -0.022016   0.179747     2.508525     0.012327   1.583833   0.111027
      79   0.201600   0.795700  -0.052458   0.182358     2.548141     0.012696   1.596290   0.112679
      80   0.206400   0.790900  -0.047670   0.182118     2.518078     0.012542   1.586845   0.111992
      81   0.211200   0.786100  -0.045012   0.180430     2.487549     0.012613   1.577196   0.112306
      82   0.216000   0.781300  -0.040071   0.181718     2.459166     0.012592   1.568173   0.112212
      83   0.216000   0.781300  -0.071122   0.183150     2.507645     0.012606   1.583554   0.112276
      84   0.216000   0.781300  -0.037703   0.185338     2.569381     0.012848   1.602929   0.113351
      85   0.216000   0.781300  -0.068441   0.185254     2.617584     0.012698   1.617895   0.112685
      86   0.220800   0.776500  -0.071209   0.186544     2.587791     0.012690   1.608661   0.112650
      87   0.220800   0.776500  -0.093051   0.185359     2.598602     0.012664   1.612018   0.112532
      88   0.225600   0.771700  -0.115511   0.183338     2.612460     0.012871   1.616311   0.113450
      89   0.230400   0.766900  -0.130379   0.182266     2.602343     0.012826   1.613178   0.113253
      90   0.235200   0.762100  -0.128656   0.182722     2.573689     0.012702   1.604272   0.112704
      91   0.240000   0.757300  -0.132690   0.181597     2.546855     0.012675   1.595887   0.112584
      92   0.240000   0.757300  -0.108216   0.181928     2.573090     0.012547   1.604085   0.112014
      93   0.240000   0.757300  -0.117722   0.182749     2.553647     0.012473   1.598013   0.111685
      94   0.240000   0.757300  -0.146354   0.184189     2.601909     0.012532   1.613043   0.111945
      95   0.240000   0.757300  -0.160259   0.185997     2.592503     0.012704   1.610125   0.112711
